Venue,Sentiment,Text
1066 battle of hastings battle,positive,1 disabled toilet near the cafe - this is the only toilet facility I saw.
1st stop 2 shop dundee,positive,"Parking directly outside, lowered kerb with KEEP CLEAR sign.  On bus route. Although not advertised, there is a wheelchair accessible toilet with grab rails available."
200 degrees coffee shop barista school leeds,negative,"Nearest car park is about a quarter of a mile away at least, although it does have plenty of disabled parking bays. It's not a street for road vehicles, so the nearest bus stop is maybe 100 m away."
22 the square cross hills,positive,"Small car park with 1 disabled bay. Parking is tight but there is a council car park opposite with good sized disabled bays Good clean loo, situated in the bar. Red cord was tied up but otherwise very clean, good quality soap and handcream, very stylish."
23 the grill barnoldswick,negative,"Parking available on the street front by 23 The Grill- a couple of which are disabled. If unavailable, there is a short stay car park behind the establishment about 100 yards away with plenty of spaces."
23 the grill barnoldswick,positive,"Accessible toilet very easy to find. Plenty of room for carers/manoeuvring with chairs. Pull down grab rails next to toilet. Tap may be awkward to use due to small button rather than handle. Well lit, clean, and tidy."
3 kenwick woods louth,positive,"Parking outside lodge,  and disabled parking at hotel and spa Toilet in lodge very accessible.  Did not go in hotel or spa."
3 threes coffee lounge birmingham,negative,No accessible toilet available.
30 james street home of the titanic liverpool,negative,There is no parking on the street and the nearest car parking space is a good 10mins away however there is a Taxi Rank outside the front door and the James St Interchange is almost next door this gives access to local train and bus services which are available from early morning and well into the evening    There is one Wheelchair accessible toilet this is on the 7th floor next to the restaurant and bar and is to the left as you go through the set of double doors and is on the left hand side. The door indicates it as a baby change but it is also the accessible toilet no signs to show this  The toilet has rails on both sides and there should be just enough space for a care giver the Red Cord is one off the most tied up red cords I have ever seen and is about the height of the sink.      The Red cord has been removed completely 
360life church stockport,positive,"The church has its own car park with 3 accessible bays right by the door (a lot of spaces as it is a fairly small car park) car park is flat and smooth surface  Close to a bus route - couple of minutes away New, clean accessible toilet. Fairly big and usual rails etc, but not a full changing places toilet.  Red emergency cord.  "
4500 miles from delhi oxford,negative,This really is the smallest accessible toilet I have ever seen. The rear of your wheelchair touched the door and the front touched the toilet so there was absolutelyto manoeuvre and you need is somebody to help pull your wheelchair away so you could get on the toilet. 
