Unnamed: 0,Venue Name,Text,Sentence Count,Sentences,Word Count,Review ID,Gold Aspect Labels,Gold Sentiment Labels
398,Samar," Third largest island in the Philippines ... please do not expect the luxury standard of a big city, power cuts can occur at any time. Telephone connection sufficient, Internet however under all dignity ... in the …",2,"Telephone connection sufficient, Internet however under all dignity ... in the …",11,489871,other,neutral
732,House of Watt,"This place is amazing! Great location with plenty parking spaces around, but can also be reached easily by public transport. The place is spacious which is good is you bring your kids. The food is delicious and they have a simple but good kid's menu too. Looks like they organize cool events as well.",5,"Great location with plenty parking spaces around, but can also be reached easily by public transport.",17,295938,"parking, transport",
805,House of Watt,For a children's party you have come to the right place at house of watt. Smooth operation. Play area for the children and the possibility to decorate muffins for the children. Wheelchair-friendly entrance and …,4,Wheelchair-friendly entrance and …,5,615829,"wheelchair, entrance",
5460,Café-Restaurant Dauphine," Lovely place to have a drink and / or eat. Easily accessible and private parking space in garage.
Good kitchen where you can enjoy a small meal to an extensive meal. …",4,Easily accessible and private parking space in garage.,8,230846,"parking, transport",positive
5490,Café-Restaurant Dauphine,Great location to meet for coffee or lunch. Nice to reach with public transport and free parking. …,3,Nice to reach with public transport and free parking.,9,411668,"parking, transport",
11741,Amstelhaven,"Beautiful, easy to reach locstion.

Nice interior, wide array of snacks, good prices and friendly staff! Will definitely be coming back here",3,"Beautiful, easy to reach locstion.",6,184049,"parking, transport",
11844,Amstelhaven,Nice below the road at the corner of the Amstel and a canal. A small dock allows access by boat or canoe. Good choice of beers even without alcohol and cocktails. …,4,A small dock allows access by boat or canoe.,9,148267,other,
13225,Athene,I take care of the electronic side of my wife's and my 'banking' and found the Athene site very easy to access all of the various data. Thank you!,2,I take care of the electronic side of my wife's and my 'banking' and found the Athene site very easy to access all of the various data.,31,336795,other,
16275,Burger Fabriek," The burgers are very good, the atmosphere is nice and the staff nice! In addition the restaurant is easy to reach from the Centraal station by being 5 minutes walk. …",3,In addition the restaurant is easy to reach from the Centraal station by being 5 minutes walk.,17,350578,transport,
18280,Frenzi,Friendly staff and nice location near to the city Hall and the concert hall. Good selection of meals available and to suit all tastes or dietary needs. Toilets are clean and access is easy into the restaurant. Free WiFi is available just ask for the code. Also a seating area outside for those warm summer nights.,5,Toilets are clean and access is easy into the restaurant.,10,566385,toilets,
19247,Caf√© Sloterplas,"Winding paths, mature and varies trees, easy access to the lake; an oasis in the city. (Though in Amsterdam you're spoilt for choice when it comes to peaceful parks! ;-) )",3,"Winding paths, mature and varies trees, easy access to the lake; an oasis in the city.",19,619715,,
26013,Café van Daele," Cozy café where young and old can get a snack or a drink. Toilets are good, but can only be reached via the stairs. Friendly and good service. …",4,"Toilets are good, but can only be reached via the stairs.",12,566395,"toielts, general accessibility ",
26913,George Marina,"Great view and that's where it ends.  Poor service, foods takes over an hour to receive, kitchen closes with out warning and the food is not worth the price.  I've tried this place 3 times now because of the location and easy access to bringing a boat, but I will not return.  There are so many better places in Amsterdam!",4,"I've tried this place 3 times now because of the location and easy access to bringing a boat, but I will not return.",26,345297,,
29549,Café 't Loosje,Fine brown pub. Visitors of all ages and very diverse. Good terrace (such in the morning). Nice staff. Not wheelchair accessible (toilet!). …,6,Not wheelchair accessible (toilet!).,7,419346,"wheelchair, toilet",
37685,Caf√© Droog,"This place is beautifully designed. The Café-Restaurant is spacious. They serve breakfast, lunch and some sandwiches. Access to the café by stairs (not aware of an elevator)",4,Access to the café by stairs (not aware of an elevator),13,151802,general accessibility,
38770,Siberi√´ Coffeeshop,"Staff were infallible, good prices for quality produce and information regarding strength and effects, nice seating and decor, chilled atmosphere. Toilet would not be wheelchair accessible. Coffee was nice. Returned twice in a week and would go again for sure when next in Amsterdam.",4,Toilet would not be wheelchair accessible.,6,566374,"toilets, wheechair",
39902,Luciën’s,"One of the top venues in South Jersey!!!
they have not only created an atmosphere for weddings sweet sixteens and any event! They also have installed solar panels out in the parking lot creating an …",3,They also have installed solar panels out in the parking lot creating an …,13,550969,,
40030,Luciën’s,"Held a big event there.  Service was excellent, facilities were excellent, room was great.  First class.  Plenty of free parking and good access.",4,Plenty of free parking and good access.,7,440791,parking,
43322,Porto Carrara," Loading usually with considerable expectations, but sometimes very quickly and efficiently. Big minus !!!! No access to toilet toilet !!!!!! …",4,No access to toilet toilet !!!!!!,11,413067,,
43965,Jerusalem,"The best place to find healthy and tasty food in Amsterdam. Waitress really delightful and attentive to the customers. good beer. Quiet location, with access to the classic steep stairs of the place, can hold less than twenty people in …",4,"Quiet location, with access to the classic steep stairs of the place, can hold less than twenty people in …",21,448011,general accessibility,
47656,Gollem's Proeflokaal,Lots of choice for beers and a nice and cosy venue with outside seating when the weather allows it. Unfortunately the toilet is down the stairs so not wheelchair accessible.,2,Unfortunately the toilet is down the stairs so not wheelchair accessible.,11,573544,"wheelchair, general accessibility",
47912,Gollem's Proeflokaal," Been to this tasting room for the first time. The atmosphere and ambiance is good. Unfortunately, the service dropped a few stitches. Well eaten. If you are wheelchair bound, you can enter here. Unfortunately the …",6,"If you are wheelchair bound, you can enter here.",10,347333,"wheelchair, entrance",
49321,Bagels & Beans," Relax scoring a sandwich with a nice view over the ice.
Easily accessible by bike on foot and there are parking garages.
They are literally on the quay and you can stay on the terrace both inside and …",3,Easily accessible by bike on foot and there are parking garages.,11,230849,general accessibility,
