,Name,Sentiment,Text,Label
57007,Roses by Sal,positive,"Tons time visit, feel like steak not very fresh.",1
139337,Quattro Gatti,negative,(Translated by Google) Have never been treated so badly as in this restaurant.,0
461382,Cafe Smit & Voogt,positive,Warm and friendly,1
739552,The Poolbar,positive,"(Translated by Google) Good music, and very nice atmosphere in the pool bar.",1
327683,Oedipus Brewing,positive,Excellent quality craft beer in a very cozy tap room next to the brewery.,1
366178,Cuddle,positive,We had the schnitzel and it was great …,1
393696,Bistrot des Alpes,positive,"Price level could be a bit milder, 25+ euros p/p for a cheese fondue is a bit on …",1
179090,Friet Plaza,positive,(Translated by Google) Tasty fries and chicken burger  (Original) Lekker patat en kipburger,1
623132,Sir Hummus,positive,…,1
661435,Baba Coffeeshop,positive,"(Translated by Google) Great coffeeshop, very clean and good atmosphere.",1
252594,De Ysbreeker,positive, (Original) …,1
565602,Cafe de Bazel,positive,…,1
157644,Hunter's Coffeeshop,positive, (Original) …,1
167849,Eetsalon Van Dobben,positive,"Very good!! Salty meat sandwich with liver ham, tastes better than its name.",1
754213,Mezzo,positive,Love their salads and chicken salad sandwiches.,1
176073,Urban Outfitters,positive,Ask for miss Irma Krimelyte for top notch service.,1
74668,Ramen-Kingdom,positive,"Such a fun place to eat at, the food is sooo good, the service is amazing",1
787129,FuLu Mandarijn,positive, Great service.,1
664402,Kantjil & De Tijger,negative,It was served within 10 minutes but half was still cold.,0
186181,Haven van Texel,positive,Good food.,1
681636,Caldi e Freddi,positive,The staff is very nice and fast.,1
562209,Sumo,negative,"(Translated by Google) Totally disproportionate to the price, strange portions and all three the same evening and next day pain in our stomach and intestines.",0
360909,Brasserie Ambassade,positive,(Translated by Google) A pleasant hotel with a fantastic ambiance.,1
116331,Lucca Due,positive,Divine! Food was so good,1
698004,Coffeeshop ‚Äòt Ooievaartje,positive,Very accomodating and always give a warm welcome everytime I visit.,1
109846,Peper & Zout,positive,(Translated by Google) Good food 😋 also halal 😍  (Original) Lekker eten 😋 ook halal 😍,1
340147,Anne&Max,positive,I surprised my friend with a breakfast platter and champagne.,1
152987,Mads,positive,Coming here since a long time! Has picked up in quality within last two years! Solid local corner cafe!,1
112476,Martinot,positive,"Cozy place with delicious fresh food, pitta bread served warm, I had falafel and hummus and they were so tasty, I will definitely come back more often.",1
572989,Cafe Koosje,positive,Fortunately also for vegetarians.,1
289659,Ijswinkel Massimo Gelato,positive,Something was different.,1
